"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ae_layer","batch_size","branch1_layer","branch_layer","branch_weight","kl_weight","latent_dim","latent_space","learning_rate","loss_scalar","optimizer","var1","var2","var3","ae_loss","branch1_loss","branch_loss","epoch","kl","loss","recon_loss","v_ae_loss","v_branch1_loss","v_loss","vars"
"pleasant-sweep-103","finished","-","sophied","","2022-03-19T17:46:57.000Z","53","3pwcrso7","11","314","9","","","","8","","0.0013091445769377156","1.3615408661940644","","","","","0.00028086453676223755","0.00047061633085832","","24","","0.0007514808676205575","","0.0005381802911870182","0.0005089123151265085","0.0010470926063135266",""
"atomic-sweep-102","finished","-","sophied","","2022-03-19T17:45:55.000Z","56","3pwcrso7","9","216","6","","","","1","","0.00014993067559661955","2.6217271557114756","","","","","0.281173974275589","0.2890828549861908","","24","","0.5702568292617798","","0.5547141432762146","0.28641200065612793","0.8411261439323425",""
"twilight-sweep-101","finished","-","sophied","","2022-03-19T17:45:03.000Z","45","3pwcrso7","19","318","10","","","","2","","0.004896843579070824","1.1585891761891334","","","","","0.00064418138936162","0.0019960319623351097","","24","","0.0026402133516967297","","0.001406804658472538","0.0019535054452717304","0.0033603101037442684",""
"olive-sweep-100","finished","-","sophied","","2022-03-19T17:44:11.000Z","47","3pwcrso7","7","384","6","","","","8","","0.0012630381774410351","1.7606476746379012","","","","","0.00722803920507431","0.04084739461541176","","24","","0.04807543382048607","","0.01473957486450672","0.041977331042289734","0.056716904044151306",""
"neat-sweep-99","finished","-","sophied","","2022-03-19T17:43:13.000Z","53","3pwcrso7","15","340","7","","","","8","","0.0009208852727074476","2.76576369682629","","","","","0.0040119183249771595","0.0049318578094244","","24","","0.008943775668740273","","0.008185068145394325","0.0048486413434147835","0.013033709488809109",""
"summer-sweep-98","finished","-","sophied","","2022-03-19T17:42:37.000Z","33","3pwcrso7","7","496","8","","","","1","","0.003835395725752205","2.9861998194462913","","","","","0.029084185138344765","0.08202429860830307","","24","","0.11110848188400269","","0.0543488934636116","0.08540834486484528","0.13975724577903748",""
"iconic-sweep-97","finished","-","sophied","","2022-03-19T17:41:56.000Z","35","3pwcrso7","16","473","8","","","","2","","0.0026768859110385228","1.1276789922801256","","","","","0.002741842996329069","0.008116230368614197","","24","","0.010858073830604551","","0.005332530476152897","0.008252565748989582","0.01358509622514248",""
"prime-sweep-96","finished","-","sophied","","2022-03-19T17:41:14.000Z","39","3pwcrso7","14","458","7","","","","4","","0.0027441575481675787","1.6177697783791438","","","","","0.0005763837834820151","0.001761373947374523","","24","","0.002337757730856538","","0.0011689001694321632","0.0018475621473044157","0.003016462316736579",""
"pious-sweep-95","finished","-","sophied","","2022-03-19T17:39:50.000Z","80","3pwcrso7","9","169","10","","","","6","","0.0034097073087905423","1.8007961111800237","","","","","0.00009647224214859308","0.00025242596166208386","","24","","0.00034889820381067693","","0.0003119241737294942","0.0003050381492357701","0.0006169623229652643",""
"light-sweep-94","finished","-","sophied","","2022-03-19T17:39:04.000Z","43","3pwcrso7","18","318","8","","","","1","","0.002943005811494601","2.1220256136870703","","","","","0.0010327526833862066","0.002332700649276376","","24","","0.0033654533326625824","","0.0022087704855948687","0.0023422588128596544","0.004551029298454523",""
